row_type,selection_reason,wo_id,trade,p_bh,class_recorded,hat_s,class_corrected,class_true,true_shift,w_star,d_star_bh,release_bh,due_recorded_bh,rank_rule,rank_m0,rank_trade_rule,rank_trade_m0,completion_rule_bh,completion_m0_bh,lateness_rule_bh,lateness_m0_bh,twt_contrib_rule,twt_contrib_m0,delta_twt,behaviour,miscorrected,harmed
order,,W1006,C10,1.196400,2,-0.008520,2.008520,1,2,8.000000,44.653600,36.653600,60.653600,986,996,49,49,39.762500,39.762500,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1007,D30,2.824300,4,-0.008520,4.000000,3,1,2.000000,116.673000,36.673000,208.073000,1004,959,267,255,41.806800,39.827600,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1008,D30,4.536300,4,-0.008520,4.000000,3,1,2.000000,116.699100,36.699100,208.099100,1073,1068,286,283,46.048000,45.427600,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1009,D30,3.973800,2,-0.008520,2.008520,1,1,8.000000,44.700900,36.700900,60.700900,927,942,249,248,40.755200,40.699100,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W101,D50,1.704100,4,-0.008520,4.000000,4,0,1.000000,174.872200,3.472200,174.872200,99,99,29,29,5.186900,5.186900,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1010,D90,6.044100,4,-0.008520,4.000000,2,2,4.000000,60.708300,36.708300,208.108300,924,939,49,49,42.752400,42.752400,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1011,D90,1.100600,4,-0.008520,4.000000,2,2,4.000000,60.722100,36.722100,208.122100,925,941,50,50,37.822700,37.822700,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1012,D30,8.353100,4,-0.008520,4.000000,3,1,2.000000,116.785800,36.785800,208.185800,1381,1324,371,363,62.432200,60.533500,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1013,D50,1.509900,4,0.145301,3.854699,2,2,4.000000,60.794300,36.794300,208.194300,1088,965,318,290,43.661600,38.948100,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1014,D30,3.418000,2,-0.008520,2.008520,1,1,8.000000,44.847700,36.847700,60.847700,931,950,250,251,40.291500,40.291500,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1015,D30,0.619900,4,-0.008520,4.000000,2,2,4.000000,60.873300,36.873300,208.273300,934,953,251,252,37.519800,37.519800,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1016,D10,1.155500,2,-0.008520,2.008520,1,2,8.000000,44.886800,36.886800,60.886800,932,951,13,13,38.042300,38.042300,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1017,D90,0.442800,4,-0.008520,4.000000,2,2,4.000000,60.892900,36.892900,208.292900,933,952,51,51,37.335700,37.335700,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1018,D50,0.524600,4,0.109269,3.890731,2,2,4.000000,60.903300,36.903300,208.303300,1021,954,298,285,40.069800,37.458700,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1019,D30,3.490100,4,-0.008520,4.000000,3,1,2.000000,116.928600,36.928600,208.328600,1042,1044,274,273,43.870600,43.423800,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W102,D30,2.572900,4,-0.008520,4.000000,4,0,1.000000,174.890600,3.490600,174.890600,100,100,32,32,6.063500,6.063500,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1020,D30,1.035600,4,-0.008520,4.000000,2,2,4.000000,60.966000,36.966000,208.366000,937,957,252,253,38.033300,38.033300,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1021,D30,1.927300,4,-0.008520,4.000000,2,2,4.000000,60.972000,36.972000,208.372000,938,958,253,254,38.927300,38.927300,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1022,D40,1.539300,4,-0.008520,4.000000,2,2,4.000000,60.983300,36.983300,208.383300,936,956,46,46,38.522600,38.522600,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1023,D10,3.279000,4,-0.008520,4.000000,2,2,4.000000,60.985900,36.985900,208.385900,967,987,14,14,41.321300,41.321300,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1024,D90,1.612700,4,-0.008520,4.000000,2,2,4.000000,61.023200,37.023200,208.423200,940,960,52,52,38.635900,38.635900,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1025,D40,0.848800,4,-0.008520,4.000000,2,2,4.000000,61.037400,37.037400,208.437400,944,964,47,47,38.033300,38.033300,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1026,D30,1.057600,4,-0.008520,4.000000,2,2,4.000000,61.059300,37.059300,208.459300,951,968,255,256,38.577400,38.577400,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1027,D50,1.038100,4,0.130250,3.869750,2,2,4.000000,61.061900,37.061900,208.461900,1065,963,312,289,42.303400,38.217200,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1028,D30,4.864900,4,-0.008520,4.000000,3,1,2.000000,117.070100,37.070100,208.470100,1080,1089,289,289,46.671700,46.794100,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1029,D20,1.075400,4,-0.132948,4.000000,4,0,1.000000,208.513000,37.113000,208.513000,947,1650,156,230,38.492700,69.096500,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W103,D30,1.451300,2,-0.008520,2.008520,2,0,4.000000,27.507800,3.507800,27.507800,101,101,33,33,4.959100,4.959100,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1030,D30,3.586900,4,-0.008520,4.000000,3,1,2.000000,117.123000,37.123000,208.523000,1044,1048,275,274,44.009800,43.734900,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1031,D50,1.298500,4,0.138941,3.861059,2,2,4.000000,61.198000,37.198000,208.598000,1086,966,317,291,43.340800,38.757200,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1032,C10,1.373900,4,-0.008520,4.000000,2,2,4.000000,61.279100,37.279100,208.679100,993,1003,51,51,40.167900,40.167900,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1033,D30,7.653500,4,-0.008520,4.000000,3,1,2.000000,117.304200,37.304200,208.704200,1307,1304,354,356,58.501700,59.221200,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1034,D30,1.320000,4,-0.008520,4.000000,2,2,4.000000,61.392500,37.392500,208.792500,955,978,256,258,38.889500,39.145000,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1035,D50,2.327100,4,0.158662,3.841338,2,2,4.000000,61.487000,37.487000,208.887000,1140,1031,338,315,46.433900,41.800900,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1036,D50,0.527200,4,0.109392,3.890608,2,2,4.000000,61.506800,37.506800,208.906800,1029,967,301,292,40.499100,38.038900,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1037,D20,7.550200,4,0.379003,3.620997,2,2,4.000000,61.525400,37.525400,208.925400,1141,1027,182,159,51.666200,46.928200,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1038,D90,2.574300,4,-0.008520,4.000000,2,2,4.000000,61.525800,37.525800,208.925800,952,969,53,53,40.100100,40.100100,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1039,D90,0.382900,4,-0.008520,4.000000,2,2,4.000000,61.528600,37.528600,208.928600,956,971,54,54,38.011400,38.011400,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W104,D50,1.450600,4,-0.008520,4.000000,4,0,1.000000,174.915300,3.515300,174.915300,105,105,31,31,5.088200,5.088200,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1040,E10,0.145100,2,-0.008520,2.008520,1,2,8.000000,45.543200,37.543200,61.543200,953,970,40,40,37.688300,37.688300,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1041,D50,16.595200,4,-0.419748,4.000000,3,1,2.000000,117.548300,37.548300,208.948300,996,1137,287,347,55.410400,60.751700,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1042,D30,1.944800,4,-0.008520,4.000000,2,2,4.000000,61.576500,37.576500,208.976500,965,981,259,259,39.978100,39.833800,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1043,D50,0.189200,4,0.091311,3.908689,2,2,4.000000,61.584000,37.584000,208.984000,963,973,274,293,38.111300,37.895100,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1044,D30,1.978700,2,-0.008520,2.008520,1,2,8.000000,45.617500,37.617500,61.617500,957,972,257,257,39.663900,39.663900,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1045,D20,0.854200,2,-0.137293,2.137293,2,0,4.000000,61.629800,37.629800,61.629800,969,999,158,154,38.927500,39.474500,0.000000,0.000000,0.000000,0.000000,0.000000,demoted,True,False
order,,W1046,D30,14.058800,4,-0.008520,4.000000,3,1,2.000000,117.632000,37.632000,209.032000,1483,1498,397,402,72.039600,74.344900,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1047,D30,2.543100,4,-0.008520,4.000000,3,1,2.000000,117.639000,37.639000,209.039000,988,1011,263,266,41.120500,41.525600,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1048,D20,5.621700,2,0.379003,1.620997,1,2,8.000000,45.649100,37.649100,61.649100,975,976,160,153,43.844600,43.385300,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1049,D50,2.739600,4,0.144175,3.855825,2,2,4.000000,61.654300,37.654300,209.054300,1158,1059,343,323,47.617700,43.421600,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W105,D30,1.983100,4,-0.008520,4.000000,4,0,1.000000,175.029100,3.629100,175.029100,103,103,34,34,5.612200,5.612200,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1050,D20,1.362200,4,-0.127957,4.000000,4,0,1.000000,209.065100,37.665100,209.065100,1011,1679,165,234,40.579700,70.608900,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1051,D50,1.403200,4,0.142161,3.857839,2,2,4.000000,61.665300,37.665300,209.065300,1109,975,327,294,44.542000,39.134200,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1052,D20,0.949300,4,-0.135365,4.000000,4,0,1.000000,209.102300,37.702300,209.102300,1007,1668,164,231,39.985600,69.921900,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1053,E10,2.623600,4,-0.056470,4.000000,2,2,4.000000,61.717400,37.717400,209.117400,958,974,41,41,40.341000,40.341000,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1054,D50,1.213200,4,0.136208,3.863792,2,2,4.000000,61.757000,37.757000,209.157000,1093,977,321,295,43.570800,38.979500,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1055,MISC,2.048100,2,0.003602,1.996398,1,2,8.000000,45.829700,37.829700,61.829700,960,979,14,14,39.877800,39.877800,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1056,D50,1.636700,4,0.148863,3.851137,2,2,4.000000,61.860900,37.860900,209.260900,1127,991,334,301,45.439400,39.853900,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1057,D90,4.440400,4,-0.008520,4.000000,2,2,4.000000,61.861400,37.861400,209.261400,961,980,55,55,42.301800,42.301800,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1058,D50,1.445900,4,0.143434,3.856566,2,2,4.000000,61.883500,37.883500,209.283500,1120,982,330,296,44.878100,39.341000,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1059,D40,1.173700,4,-0.008520,4.000000,2,2,4.000000,61.924500,37.924500,209.324500,966,985,48,48,39.207000,39.207000,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W106,C30,31.715400,4,-1.735724,4.000000,3,1,2.000000,83.636400,3.636400,175.036400,104,104,2,2,35.351800,35.351800,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1060,D20,1.324700,2,-0.128574,2.128574,2,0,4.000000,61.943200,37.943200,61.943200,973,1017,159,156,39.517000,40.462400,0.000000,0.000000,0.000000,0.000000,0.000000,demoted,True,False
order,,W1061,D50,1.120800,4,0.133125,3.866875,2,2,4.000000,61.969200,37.969200,209.369200,1092,983,320,297,43.427300,39.146400,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1062,D50,1.269200,4,0.138014,3.861986,2,2,4.000000,61.988900,37.988900,209.388900,1108,990,326,300,44.373100,39.427100,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1063,D50,0.848200,4,0.123181,3.876819,2,2,4.000000,62.029400,38.029400,209.429400,1071,988,314,299,42.306500,38.942600,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1064,D50,3.373600,4,0.219719,3.780281,2,2,4.000000,62.036000,38.036000,209.436000,1213,986,358,298,50.451500,41.412500,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1065,D30,2.696700,4,-0.008520,4.000000,3,1,2.000000,118.051300,38.051300,209.451300,1009,1033,268,269,41.764700,42.221600,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1066,D50,1.493500,4,0.144827,3.855173,2,2,4.000000,62.138700,38.138700,209.538700,1126,992,333,302,45.213900,39.732500,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1067,D50,1.281600,4,0.138408,3.861592,2,2,4.000000,62.260300,38.260300,209.660300,1119,1030,329,314,44.708900,40.752600,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1068,D50,1.979000,4,0.157685,3.842315,2,2,4.000000,62.266700,38.266700,209.666700,1156,1038,342,317,46.758100,41.780600,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1069,D30,7.550300,4,-0.008520,4.000000,3,1,2.000000,118.325400,38.325400,209.725400,1401,1327,376,364,62.241200,59.839200,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W107,D50,0.767800,4,-0.008520,4.000000,4,0,1.000000,175.050600,3.650600,175.050600,111,111,34,34,4.773100,4.773100,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1070,D30,4.558100,4,-0.008520,4.000000,3,1,2.000000,118.334900,38.334900,209.734900,1082,1132,290,302,46.487300,48.484200,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1071,C30,1.683300,2,-0.080260,2.080260,1,2,8.000000,46.369400,38.369400,62.369400,977,993,21,21,40.052700,40.052700,0.000000,0.000000,0.000000,0.000000,0.000000,demoted,True,False
order,,W1072,D30,1.911500,4,-0.008520,4.000000,2,2,4.000000,62.379700,38.379700,209.779700,980,1002,260,264,40.380500,40.685400,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1073,D20,9.670100,4,0.379003,3.620997,2,2,4.000000,62.391600,38.391600,209.791600,1489,1032,235,160,67.897100,49.144600,5.505500,0.000000,22.022000,0.000000,-22.022000,promoted,False,False
order,,W1074,D40,1.879500,4,-0.008520,4.000000,2,2,4.000000,62.416200,38.416200,209.816200,984,995,49,49,40.402100,40.402100,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1075,D50,2.102800,4,0.160628,3.839372,2,2,4.000000,62.424700,38.424700,209.824700,1159,1043,344,320,47.000800,42.033400,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1076,D30,12.368100,4,-0.008520,4.000000,3,1,2.000000,118.469500,38.469500,209.869500,1561,1499,410,403,73.393900,72.669300,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1077,D20,1.603900,2,-0.139036,2.139036,2,0,4.000000,62.477100,38.477100,62.477100,981,1024,161,158,40.096600,40.897300,0.000000,0.000000,0.000000,0.000000,0.000000,demoted,True,False
order,,W1078,D20,2.407000,4,-0.193627,4.000000,4,0,1.000000,209.889000,38.489000,209.889000,1019,1727,166,244,41.924000,73.731700,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1079,D30,0.506200,4,-0.008520,4.000000,2,2,4.000000,62.507400,38.507400,209.907400,985,998,262,262,39.068000,39.083600,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W108,C30,1.683700,4,0.162542,3.837458,2,2,4.000000,27.658000,3.658000,175.058000,106,106,3,3,5.341700,5.341700,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1080,D50,0.339600,4,0.099918,3.900082,2,2,4.000000,62.617200,38.617200,210.017200,1025,1016,299,308,40.206000,39.473800,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1081,D50,1.730400,4,0.151387,3.848613,2,2,4.000000,62.642300,38.642300,210.042300,1145,1042,339,319,46.103500,41.584300,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1082,D20,1.411100,2,-0.128749,2.128749,2,0,4.000000,62.648600,38.648600,62.648600,994,1021,162,157,40.215000,40.653500,0.000000,0.000000,0.000000,0.000000,0.000000,demoted,True,False
order,,W1083,D20,6.555900,2,0.379003,1.620997,1,2,8.000000,46.649900,38.649900,62.649900,1001,1006,163,155,45.483400,45.474100,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1084,D30,8.465900,2,-0.008520,2.008520,1,1,8.000000,46.689400,38.689400,62.689400,992,1000,264,263,47.239800,47.159000,0.550400,0.469600,4.403200,3.756800,-0.646400,unchanged,False,False
order,,W1085,D50,2.100700,1,0.160579,1.000000,1,2,8.000000,46.695100,38.695100,46.695100,991,1001,286,303,40.864000,40.857900,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1086,D50,1.019600,4,0.129591,3.870409,2,2,4.000000,62.701400,38.701400,210.101400,1094,1019,322,309,43.432200,40.166000,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1087,D50,3.674900,4,0.343923,3.656077,2,2,4.000000,62.760500,38.760500,210.160500,1227,1009,364,305,51.162500,42.623000,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1088,D50,1.954200,4,0.157081,3.842919,2,2,4.000000,62.777000,38.777000,210.177000,1173,1045,347,321,47.393600,41.924700,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1089,D30,1.443200,4,-0.008520,4.000000,2,2,4.000000,62.794200,38.794200,210.194200,999,1007,265,265,40.332700,40.370500,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W109,D50,0.387400,4,-0.008520,4.000000,4,0,1.000000,175.068000,3.668000,175.068000,107,107,32,32,4.084000,4.084000,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1090,D90,0.631200,4,-0.008520,4.000000,2,2,4.000000,62.807200,38.807200,210.207200,995,1004,56,56,39.438400,39.438400,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1091,D50,0.988000,2,0.128451,1.871549,1,2,8.000000,46.922000,38.922000,62.922000,1002,1008,289,304,39.923400,39.930600,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1092,D50,0.151500,4,0.088982,3.911018,2,2,4.000000,62.963000,38.963000,210.363000,1003,1010,290,306,39.114800,39.131000,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1093,C30,0.989000,4,-0.008520,4.000000,2,2,4.000000,62.987500,38.987500,210.387500,1005,1012,22,22,39.976500,39.976500,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1094,D30,5.764000,4,-0.008520,4.000000,3,1,2.000000,118.988200,38.988200,210.388200,1217,1198,324,325,53.003800,52.981300,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1095,E10,3.911000,4,0.222311,3.777689,2,2,4.000000,62.988600,38.988600,210.388600,1006,1013,42,42,42.899600,42.899600,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1096,D50,0.340000,2,0.099940,1.900060,1,2,8.000000,47.058300,39.058300,63.058300,1008,1015,291,307,39.401800,39.471000,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1097,D30,1.064400,4,-0.008520,4.000000,2,2,4.000000,63.079500,39.079500,210.479500,1022,1014,269,267,40.728300,40.148000,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1098,D30,6.079600,4,-0.008520,4.000000,3,1,2.000000,119.141400,39.141400,210.541400,1297,1289,348,352,56.403500,56.843500,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1099,D50,0.624800,4,0.113869,3.886131,2,2,4.000000,63.170000,39.170000,210.570000,1070,1020,313,310,42.042300,39.813200,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W11,D20,0.389800,4,-0.148971,4.000000,4,-1,1.000000,171.745200,0.345200,171.745200,12,12,5,5,0.735000,0.735000,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W110,D20,2.012100,4,-0.154060,4.000000,4,-1,1.000000,175.126000,3.726000,175.126000,108,108,25,25,5.738100,5.738100,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1100,D50,1.341000,2,0.140265,1.859735,1,2,8.000000,47.190700,39.190700,63.190700,1014,1025,293,311,40.664800,40.682000,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1101,D40,1.560900,4,-0.008520,4.000000,2,2,4.000000,63.252400,39.252400,210.652400,1012,1022,50,50,40.813300,40.813300,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1102,D40,2.982300,4,-0.008520,4.000000,2,2,4.000000,63.262300,39.262300,210.662300,1013,1023,51,51,42.244600,42.244600,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1103,D30,3.702300,4,-0.008520,4.000000,3,1,2.000000,119.289700,39.289700,210.689700,1053,1054,279,277,44.473800,44.125200,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1104,D50,0.436100,4,0.104946,3.895054,2,2,4.000000,63.314100,39.314100,210.714100,1049,1026,306,312,41.100900,39.801600,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1105,D30,6.157300,4,-0.008520,4.000000,3,1,2.000000,119.316100,39.316100,210.716100,1302,1318,350,362,56.764000,58.113000,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1106,D50,1.239300,4,0.137055,3.862945,2,2,4.000000,63.319700,39.319700,210.719700,1139,1039,337,318,45.342300,41.052500,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1107,D40,0.398600,4,-0.008520,4.000000,2,2,4.000000,63.400400,39.400400,210.800400,1015,1028,52,52,39.799000,39.799000,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1108,D50,3.813200,4,0.383085,3.616915,2,2,4.000000,63.413500,39.413500,210.813500,1245,1029,369,313,51.954900,43.240300,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1109,D40,4.736800,4,-0.008520,4.000000,2,2,4.000000,63.416000,39.416000,210.816000,1024,1037,53,53,44.507600,44.507600,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W111,D50,0.946200,4,-0.008520,4.000000,4,0,1.000000,175.144600,3.744600,175.144600,113,113,35,35,5.030200,5.030200,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1110,D50,4.146000,4,0.170999,3.829001,2,2,4.000000,63.436500,39.436500,210.836500,1252,1063,370,325,52.442800,44.898600,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1111,D30,9.758600,4,-0.008520,4.000000,3,1,2.000000,119.475700,39.475700,210.875700,1608,1500,418,404,73.408200,70.101500,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1112,D20,7.516200,4,0.379003,3.620997,2,2,4.000000,63.513900,39.513900,210.913900,1435,1058,229,162,63.545400,48.169700,0.031500,0.000000,0.126000,0.000000,-0.126000,promoted,False,False
order,,W1113,D30,1.190100,4,-0.008520,4.000000,2,2,4.000000,63.539800,39.539800,210.939800,1028,1034,270,270,41.123800,40.854000,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
